employee_id,employee_name,department,role,district,experience_years,workload,email,mobile_number,status
EMP0001,Vivaan Trivedi,Procurement,Field Officer,Rajkot,5,34,vivaan.trivedi1@company.com,9440438574,Active
EMP0002,Harsh Patel,Finance,Supervisor,Rajkot,4,12,harsh.patel2@company.com,9181392105,Active
EMP0003,Harsh Patel,Procurement,Manager,Rajkot,6,23,harsh.patel3@company.com,9986608467,Active
EMP0004,Mehul Chauhan,Maintenance,Manager,Mehsana,15,15,mehul.chauhan4@company.com,9053169514,Active
EMP0005,Nirav Mehta,Finance,Executive,Vadodara,2,35,nirav.mehta5@company.com,9368753645,Active
EMP0006,Amit Patel,Maintenance,Field Officer,Ahmedabad,4,12,amit.patel6@company.com,9998374978,Active
EMP0007,Krishna Shah,Customer Support,Supervisor,Kutch,2,10,krishna.shah7@company.com,9194548305,Active
EMP0008,Neha Patel,Maintenance,Engineer,Gandhinagar,8,24,neha.patel8@company.com,9798305008,Active
EMP0009,Sneha Chauhan,Administration,Engineer,Bharuch,17,12,sneha.chauhan9@company.com,9243212543,Active
EMP0010,Raj Patel,Operations,Engineer,Mehsana,6,29,raj.patel10@company.com,9215610262,Active
EMP0011,Dev Prajapati,Procurement,Supervisor,Ahmedabad,11,14,dev.prajapati11@company.com,9746262449,Active
EMP0012,Ishita Prajapati,Customer Support,Coordinator,Vadodara,18,32,ishita.prajapati12@company.com,9296860186,Active
EMP0013,Priya Desai,Operations,Engineer,Bhavnagar,7,38,priya.desai13@company.com,9442342183,Active
EMP0014,Nirav Shah,Procurement,Engineer,Gandhinagar,13,33,nirav.shah14@company.com,9243925501,Active
EMP0015,Amit Joshi,Maintenance,Field Officer,Gandhinagar,7,13,amit.joshi15@company.com,9249128851,Active
EMP0016,Dhruv Trivedi,Operations,Supervisor,Kutch,17,21,dhruv.trivedi16@company.com,9056559074,Active
EMP0017,Dev Trivedi,Finance,Field Officer,Vadodara,4,18,dev.trivedi17@company.com,9654930308,Active
EMP0018,Mehul Joshi,Maintenance,Engineer,Rajkot,1,27,mehul.joshi18@company.com,9406089627,Active
EMP0019,Vivaan Shah,Operations,Manager,Anand,4,24,vivaan.shah19@company.com,9231174597,Active
EMP0020,Dhruv Modi,Administration,Field Officer,Gandhinagar,15,28,dhruv.modi20@company.com,9469858491,Active
EMP0021,Raj Shah,Finance,Manager,Rajkot,15,9,raj.shah21@company.com,9089683492,Active
EMP0022,Nirav Shah,Maintenance,Manager,Vadodara,13,10,nirav.shah22@company.com,9680071545,Active
EMP0023,Aarav Modi,Procurement,Engineer,Patan,19,25,aarav.modi23@company.com,9547000285,Active
EMP0024,Aarav Modi,Operations,Manager,Kutch,15,24,aarav.modi24@company.com,9323372135,Active
EMP0025,Karan Shah,Administration,Supervisor,Rajkot,16,27,karan.shah25@company.com,9441672613,Active
EMP0026,Karan Shah,Administration,Field Officer,Valsad,20,37,karan.shah26@company.com,9797768780,Active
EMP0027,Aarav Joshi,Customer Support,Engineer,Mehsana,10,17,aarav.joshi27@company.com,9154409236,Active
EMP0028,Aarav Parmar,Operations,Engineer,Jamnagar,17,16,aarav.parmar28@company.com,9819312602,Active
EMP0029,Rahul Prajapati,Maintenance,Manager,Kutch,17,7,rahul.prajapati29@company.com,9275567066,Active
